Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
llf,Q9NXA8,Epigenetic regulator,95,1.658,2.749,0.29,0.287,0.201,0.601,0.052
llf,Q9Y463,Kinase,42,1.544,2.383,-0.137,-0.113,-0.108,0.446,0.006
mixingdta,C7C422,Hydrolase,49,1.333,1.776,0.233,0.305,0.227,0.613,0.019
mixingdta,O00444,Kinase,147,1.508,2.275,0.222,0.267,0.169,0.585,0.024
mixingdta,O14757,Kinase,59,0.704,0.496,0.127,0.173,0.119,0.56,0.009
mixingdta,O43570,Lyase,196,0.798,0.637,0.192,0.133,0.089,0.545,0.015
mixingdta,O60341,Epigenetic regulator,122,1.156,1.335,0.486,0.492,0.325,0.663,0.199
mixingdta,O60674,Kinase,77,1.312,1.721,-0.171,-0.158,-0.108,0.446,0.0
mixingdta,O60885,Epigenetic regulator,234,1.113,1.239,0.237,0.192,0.122,0.561,0.034
mixingdta,O75116,Kinase,60,1.114,1.24,0.144,-0.074,-0.049,0.475,0.014
mixingdta,O75874,Oxidoreductase,39,1.271,1.616,-0.309,-0.259,-0.183,0.408,0.041
mixingdta,O94925,Hydrolase,84,0.61,0.372,0.442,0.377,0.265,0.633,0.064
mixingdta,O96028,Epigenetic regulator,34,1.31,1.716,-0.242,-0.097,-0.073,0.463,-0.028
mixingdta,P00533,Kinase,139,1.181,1.396,-0.052,-0.035,-0.025,0.487,0.001
mixingdta,P00915,Lyase,247,1.101,1.213,0.214,0.178,0.123,0.561,0.025
mixingdta,P00918,Lyase,263,1.072,1.149,0.25,0.204,0.14,0.57,0.027
mixingdta,P01116,Hydrolase,52,2.188,4.787,-0.127,-0.262,-0.161,0.42,0.003
mixingdta,P03372,Transcription factor,79,1.982,3.93,-0.663,-0.607,-0.415,0.291,-0.126
mixingdta,P03951,Protease,39,1.011,1.022,0.428,0.169,0.092,0.546,0.16
mixingdta,P04629,Kinase,113,1.354,1.834,0.133,0.153,0.1,0.55,0.005
mixingdta,P06276,Hydrolase,126,1.379,1.902,-0.001,-0.009,-0.005,0.498,0.0
mixingdta,P07333,Kinase,81,1.174,1.377,-0.102,-0.052,-0.033,0.483,0.003
mixingdta,P08183,Transporter,83,2.21,4.883,0.013,0.018,0.012,0.506,0.0
mixingdta,P08684,Cytochrome p450,56,2.099,4.405,-0.729,-0.683,-0.481,0.259,-0.258
mixingdta,P08908,Family A G protein-coupled receptor,46,1.038,1.078,0.238,0.288,0.201,0.601,0.052
mixingdta,P09874,Transferase,127,1.383,1.914,-0.379,-0.427,-0.289,0.355,0.031
mixingdta,P0DTD1,Transferase,726,1.399,1.957,0.168,0.182,0.12,0.56,0.014
mixingdta,P10275,Transcription factor,36,1.468,2.155,-0.006,0.04,0.03,0.515,0.0
mixingdta,P14416,Family A G protein-coupled receptor,134,1.201,1.442,-0.193,-0.181,-0.108,0.446,0.014
mixingdta,P17931,Unclassified protein,38,1.656,2.744,-0.266,-0.305,-0.214,0.393,-0.095
mixingdta,P21728,Family A G protein-coupled receptor,37,1.4,1.96,0.317,0.096,0.047,0.523,0.07
mixingdta,P22303,Hydrolase,109,2.499,6.245,-0.106,0.032,0.022,0.511,0.003
mixingdta,P23458,Kinase,99,2.031,4.125,0.694,0.71,0.501,0.751,0.349
mixingdta,P24941,Kinase,50,1.174,1.379,0.323,0.267,0.177,0.588,0.076
mixingdta,P27338,Oxidoreductase,124,1.195,1.428,0.088,0.104,0.068,0.534,0.004
mixingdta,P28223,Family A G protein-coupled receptor,54,1.108,1.228,0.128,0.053,0.057,0.528,0.012
mixingdta,P28335,Family A G protein-coupled receptor,22,1.33,1.77,-0.011,0.001,-0.022,0.489,0.0
mixingdta,P28907,Hydrolase|Transferase,37,1.658,2.749,0.1,0.2,0.15,0.575,0.008
mixingdta,P29274,Family A G protein-coupled receptor,46,1.86,3.461,0.232,0.183,0.124,0.562,0.045
mixingdta,P29597,Kinase,51,1.414,2.0,-0.324,-0.296,-0.169,0.415,-0.011
mixingdta,P31153,Transferase,50,0.841,0.707,0.575,0.558,0.402,0.702,0.095
mixingdta,P34913,Hydrolase,70,1.45,2.104,0.491,0.483,0.345,0.673,0.11
mixingdta,P34972,Family A G protein-coupled receptor,30,1.648,2.714,0.303,0.168,0.117,0.559,0.068
mixingdta,P35372,Family A G protein-coupled receptor,35,1.968,3.875,0.357,0.46,0.323,0.662,0.127
mixingdta,P35408,Family A G protein-coupled receptor,54,1.258,1.583,0.371,0.357,0.244,0.625,0.121
mixingdta,P35462,Family A G protein-coupled receptor,79,1.38,1.905,-0.17,-0.222,-0.14,0.43,0.009
mixingdta,P36544,Ion channel,33,1.179,1.391,-0.113,-0.161,-0.118,0.441,-0.0
mixingdta,P37231,Transcription factor,16,1.677,2.811,-0.663,-0.642,-0.487,0.254,-0.159
mixingdta,P41143,Family A G protein-coupled receptor,41,1.948,3.796,0.651,0.332,0.198,0.6,0.392
mixingdta,P41145,Family A G protein-coupled receptor,34,1.556,2.42,0.211,0.243,0.159,0.579,0.036
mixingdta,P42330,Oxidoreductase,99,0.996,0.992,-0.146,-0.062,-0.042,0.479,-0.003
mixingdta,P42336,Transferase,111,1.01,1.02,0.402,0.483,0.318,0.66,0.161
mixingdta,P42345,Kinase,55,0.773,0.598,0.541,0.545,0.406,0.704,0.219
mixingdta,P42866,Family A G protein-coupled receptor,32,0.877,0.77,0.108,0.083,0.061,0.53,0.01
mixingdta,P43166,Lyase,119,0.713,0.508,0.339,0.285,0.197,0.599,0.069
mixingdta,P43490,Unclassified protein,38,1.652,2.728,0.297,0.315,0.241,0.621,0.075
mixingdta,P45983,Kinase,68,1.682,2.828,0.771,0.669,0.485,0.747,0.48
mixingdta,P49759,Kinase,97,0.983,0.966,-0.113,-0.038,-0.02,0.49,-0.001
mixingdta,P49841,Kinase,113,1.832,3.355,-0.089,-0.13,-0.092,0.454,0.005
mixingdta,P50406,Family A G protein-coupled receptor,77,1.028,1.056,-0.14,-0.139,-0.102,0.449,0.005
mixingdta,P51449,Transcription factor,59,0.815,0.664,0.352,0.286,0.206,0.603,0.121
mixingdta,P52333,Kinase,70,1.214,1.474,0.134,-0.041,-0.032,0.484,0.007
mixingdta,P53350,Kinase,96,1.404,1.972,-0.33,-0.206,-0.146,0.427,0.05
mixingdta,P53779,Kinase,159,1.276,1.628,0.547,0.529,0.376,0.689,0.239
mixingdta,Q00987,Other nuclear protein,94,1.376,1.894,0.833,0.831,0.63,0.816,0.457
mixingdta,Q02127,Oxidoreductase,31,0.68,0.462,0.687,0.464,0.33,0.665,0.455
mixingdta,Q03111,Epigenetic regulator,48,0.989,0.979,0.479,0.381,0.278,0.639,0.21
mixingdta,Q03181,Transcription factor,19,1.08,1.166,-0.411,-0.365,-0.287,0.357,0.024
mixingdta,Q06124,Phosphatase,42,0.821,0.674,0.689,0.638,0.469,0.735,0.386
mixingdta,Q06187,Kinase,69,0.91,0.829,0.424,0.477,0.326,0.663,0.172
mixingdta,Q12809,Ion channel,119,2.624,6.885,0.115,0.112,0.074,0.537,0.006
mixingdta,Q13546,Kinase,52,0.67,0.448,0.485,0.44,0.302,0.651,0.106
mixingdta,Q13547,Epigenetic regulator,358,1.166,1.359,-0.067,-0.034,-0.03,0.485,0.002
mixingdta,Q13627,Kinase,80,1.199,1.437,-0.124,-0.206,-0.151,0.424,0.005
mixingdta,Q15910,Epigenetic regulator,44,0.696,0.484,-0.024,0.077,0.068,0.534,0.0
mixingdta,Q16769,Transferase,52,1.917,3.675,-0.302,-0.301,-0.222,0.388,-0.011
mixingdta,Q16790,Lyase,209,0.781,0.61,0.273,0.287,0.193,0.597,0.037
mixingdta,Q72547,Hydrolase,164,1.17,1.369,0.167,0.074,0.037,0.519,0.007
mixingdta,Q92630,Kinase,38,1.29,1.665,0.457,0.498,0.37,0.685,0.139
mixingdta,Q92769,Epigenetic regulator,41,1.374,1.889,-0.295,-0.248,-0.153,0.424,0.005
mixingdta,Q92918,Kinase,134,0.847,0.717,0.112,0.111,0.081,0.541,0.006
mixingdta,Q96P20,Unclassified protein,73,1.322,1.746,0.312,0.237,0.174,0.587,0.07
mixingdta,Q96SW2,Unclassified protein,56,1.336,1.785,0.787,0.643,0.452,0.727,0.485
mixingdta,Q99538,Protease,40,1.41,1.987,0.243,0.178,0.118,0.559,0.035
mixingdta,Q9NXA8,Epigenetic regulator,95,1.637,2.678,0.288,0.296,0.206,0.603,0.061
mixingdta,Q9Y463,Kinase,42,0.932,0.868,0.223,0.175,0.109,0.555,0.018
deepdta,C7C422,Hydrolase,49,1.228,1.507,0.281,0.41,0.342,0.672,0.032
deepdta,O00444,Kinase,147,1.691,2.859,0.2,0.195,0.131,0.566,0.021
deepdta,O14757,Kinase,59,1.1,1.21,0.032,0.068,0.057,0.529,-0.0
deepdta,O43570,Lyase,196,0.919,0.845,0.233,0.171,0.117,0.559,0.012
deepdta,O60341,Epigenetic regulator,122,1.762,3.106,0.044,0.069,0.039,0.52,0.001
deepdta,O60674,Kinase,77,1.852,3.431,-0.024,0.109,0.071,0.536,0.0
deepdta,O60885,Epigenetic regulator,234,1.22,1.487,0.456,0.503,0.346,0.673,0.16
deepdta,O75116,Kinase,60,1.421,2.02,0.288,0.016,0.001,0.5,0.064
deepdta,O75874,Oxidoreductase,39,1.485,2.205,0.279,0.232,0.179,0.59,0.073
deepdta,O94925,Hydrolase,84,2.165,4.689,0.595,0.625,0.439,0.72,0.221
deepdta,O96028,Epigenetic regulator,34,0.755,0.57,-0.024,0.042,0.041,0.521,0.0
deepdta,P00533,Kinase,139,1.619,2.62,0.011,0.068,0.039,0.52,0.0
deepdta,P00915,Lyase,247,1.109,1.229,0.12,0.131,0.085,0.542,0.004
deepdta,P00918,Lyase,263,1.266,1.603,0.142,0.127,0.082,0.541,0.007
deepdta,P01116,Hydrolase,52,1.063,1.131,0.116,0.099,0.075,0.537,0.008
deepdta,P03372,Transcription factor,79,1.775,3.152,-0.643,-0.592,-0.417,0.29,-0.251
deepdta,P03951,Protease,39,1.053,1.108,0.452,0.392,0.284,0.643,0.182
deepdta,P04629,Kinase,113,1.289,1.663,0.022,-0.008,-0.001,0.5,0.0
deepdta,P06276,Hydrolase,126,1.305,1.704,0.029,0.046,0.033,0.516,0.0
deepdta,P07333,Kinase,81,2.18,4.754,-0.184,-0.125,-0.077,0.461,-0.005
deepdta,P08183,Transporter,83,1.925,3.707,-0.029,-0.008,-0.012,0.494,0.0
deepdta,P08684,Cytochrome p450,56,2.304,5.307,-0.687,-0.646,-0.434,0.283,-0.284
deepdta,P08908,Family A G protein-coupled receptor,46,0.875,0.765,0.559,0.528,0.324,0.662,0.276
deepdta,P09874,Transferase,127,2.017,4.068,0.016,-0.145,-0.092,0.454,0.0
deepdta,P0DTD1,Transferase,726,1.218,1.484,0.246,0.213,0.146,0.573,0.036
deepdta,P10275,Transcription factor,36,1.33,1.768,-0.058,-0.085,-0.065,0.467,-0.0
deepdta,P14416,Family A G protein-coupled receptor,134,1.114,1.24,-0.005,0.001,0.004,0.502,0.0
deepdta,P17931,Unclassified protein,38,1.41,1.987,-0.168,-0.112,-0.057,0.471,-0.026
deepdta,P21728,Family A G protein-coupled receptor,37,0.91,0.829,-0.195,-0.229,-0.156,0.422,0.013
deepdta,P22303,Hydrolase,109,2.259,5.102,0.449,0.466,0.32,0.66,0.196
deepdta,P23458,Kinase,99,2.972,8.835,-0.01,-0.028,-0.018,0.491,0.0
deepdta,P24941,Kinase,50,1.306,1.705,0.521,0.5,0.332,0.666,0.239
deepdta,P27338,Oxidoreductase,124,1.375,1.891,-0.073,-0.086,-0.059,0.47,0.002
deepdta,P28223,Family A G protein-coupled receptor,54,0.954,0.91,0.593,0.462,0.329,0.665,0.348
deepdta,P28335,Family A G protein-coupled receptor,22,1.59,2.527,0.319,0.299,0.196,0.598,0.049
deepdta,P28907,Hydrolase|Transferase,37,2.758,7.605,-0.438,-0.174,-0.125,0.437,-0.063
deepdta,P29274,Family A G protein-coupled receptor,46,1.408,1.983,0.055,0.079,0.048,0.524,0.001
deepdta,P29597,Kinase,51,0.922,0.85,0.386,0.315,0.225,0.613,0.113
deepdta,P31153,Transferase,50,0.821,0.674,0.49,0.562,0.376,0.688,0.031
deepdta,P34913,Hydrolase,70,2.428,5.897,0.316,0.328,0.213,0.607,0.055
deepdta,P34972,Family A G protein-coupled receptor,30,1.257,1.581,0.035,-0.009,-0.012,0.494,0.0
deepdta,P35372,Family A G protein-coupled receptor,35,2.197,4.829,0.205,0.179,0.182,0.591,0.028
deepdta,P35408,Family A G protein-coupled receptor,54,2.131,4.539,-0.355,-0.264,-0.193,0.401,0.038
deepdta,P35462,Family A G protein-coupled receptor,79,1.473,2.171,-0.078,-0.201,-0.145,0.427,0.003
deepdta,P36544,Ion channel,33,0.89,0.792,-0.109,-0.076,-0.053,0.473,0.002
deepdta,P37231,Transcription factor,16,1.695,2.873,-0.477,-0.527,-0.37,0.314,-0.062
deepdta,P41143,Family A G protein-coupled receptor,41,1.132,1.281,0.101,-0.086,-0.076,0.462,0.005
deepdta,P41145,Family A G protein-coupled receptor,34,1.715,2.942,0.078,0.131,0.091,0.545,0.005
deepdta,P42330,Oxidoreductase,99,1.674,2.802,-0.181,-0.181,-0.131,0.434,-0.015
deepdta,P42336,Transferase,111,1.374,1.888,0.451,0.511,0.34,0.67,0.172
deepdta,P42345,Kinase,55,1.14,1.3,0.328,0.332,0.217,0.609,0.063
deepdta,P42866,Family A G protein-coupled receptor,32,1.013,1.027,-0.212,-0.039,-0.012,0.494,-0.007
deepdta,P43166,Lyase,119,1.624,2.637,-0.034,-0.102,-0.081,0.459,0.0
deepdta,P43490,Unclassified protein,38,2.538,6.442,0.211,0.018,0.026,0.513,0.027
deepdta,P45983,Kinase,68,2.228,4.963,-0.003,0.176,0.133,0.568,0.0
deepdta,P49759,Kinase,97,1.035,1.07,-0.048,-0.031,-0.018,0.491,0.001
deepdta,P49841,Kinase,113,2.316,5.363,-0.104,-0.134,-0.077,0.461,0.006
deepdta,P50406,Family A G protein-coupled receptor,77,1.004,1.009,0.082,0.089,0.065,0.533,0.002
deepdta,P51449,Transcription factor,59,0.796,0.634,0.112,0.181,0.114,0.557,0.009
deepdta,P52333,Kinase,70,2.345,5.499,-0.041,-0.174,-0.104,0.448,-0.0
deepdta,P53350,Kinase,96,1.545,2.388,-0.308,-0.086,-0.065,0.468,0.031
deepdta,P53779,Kinase,159,1.177,1.384,0.327,0.324,0.203,0.602,0.083
deepdta,Q00987,Other nuclear protein,94,1.205,1.452,0.785,0.742,0.539,0.77,0.427
deepdta,Q02127,Oxidoreductase,31,0.723,0.522,0.607,0.448,0.337,0.668,0.367
deepdta,Q03111,Epigenetic regulator,48,1.177,1.385,0.235,0.098,0.058,0.529,0.029
deepdta,Q03181,Transcription factor,19,1.774,3.149,-0.258,-0.068,-0.064,0.468,0.015
deepdta,Q06124,Phosphatase,42,1.216,1.479,0.584,0.54,0.427,0.714,0.323
deepdta,Q06187,Kinase,69,0.684,0.468,0.764,0.745,0.545,0.773,0.546
deepdta,Q12809,Ion channel,119,3.099,9.604,0.078,0.066,0.042,0.521,0.003
deepdta,Q13546,Kinase,52,1.541,2.375,0.432,0.36,0.233,0.617,0.023
deepdta,Q13547,Epigenetic regulator,358,1.35,1.821,-0.04,-0.036,-0.026,0.487,0.0
deepdta,Q13627,Kinase,80,1.098,1.206,0.123,0.12,0.075,0.537,0.009
deepdta,Q15910,Epigenetic regulator,44,1.216,1.478,0.114,0.165,0.137,0.568,0.003
deepdta,Q16769,Transferase,52,2.62,6.866,0.037,0.137,0.09,0.545,0.0
deepdta,Q16790,Lyase,209,1.16,1.347,0.183,0.271,0.174,0.587,0.002
deepdta,Q72547,Hydrolase,164,1.381,1.908,-0.054,-0.073,-0.03,0.485,-0.001
deepdta,Q92630,Kinase,38,2.184,4.77,0.414,0.359,0.236,0.618,0.124
deepdta,Q92769,Epigenetic regulator,41,1.636,2.675,-0.294,-0.068,-0.023,0.488,0.009
deepdta,Q92918,Kinase,134,0.902,0.814,0.097,0.101,0.065,0.533,0.003
deepdta,Q96P20,Unclassified protein,73,1.19,1.415,0.352,0.441,0.297,0.649,0.107
deepdta,Q96SW2,Unclassified protein,56,2.031,4.127,0.749,0.506,0.334,0.667,0.449
deepdta,Q99538,Protease,40,1.601,2.565,0.048,0.02,0.028,0.514,0.0
deepdta,Q9NXA8,Epigenetic regulator,95,1.74,3.026,0.063,0.09,0.054,0.527,0.001
deepdta,Q9Y463,Kinase,42,1.434,2.056,0.103,0.092,0.079,0.54,0.006
ensemble,C7C422,Hydrolase,49,0.953,0.909,0.45,0.447,0.3,0.65,0.188
ensemble,O00444,Kinase,147,1.069,1.144,0.466,0.488,0.32,0.66,0.186
ensemble,O14757,Kinase,59,0.974,0.95,0.464,0.467,0.305,0.653,0.207
ensemble,O43570,Lyase,196,0.742,0.55,0.126,0.106,0.075,0.537,0.008
ensemble,O60341,Epigenetic regulator,122,0.913,0.834,0.49,0.478,0.307,0.654,0.19
ensemble,O60674,Kinase,77,0.867,0.752,0.329,0.243,0.167,0.584,0.096
ensemble,O60885,Epigenetic regulator,234,1.216,1.479,0.576,0.582,0.412,0.706,0.314
ensemble,O75116,Kinase,60,0.884,0.782,0.466,0.402,0.264,0.632,0.205
ensemble,O75874,Oxidoreductase,39,1.149,1.32,0.374,0.446,0.337,0.669,0.133
ensemble,O94925,Hydrolase,84,0.523,0.273,0.448,0.483,0.343,0.672,0.16
ensemble,O96028,Epigenetic regulator,34,0.62,0.385,0.144,0.108,0.055,0.528,0.012
ensemble,P00533,Kinase,139,0.859,0.738,0.362,0.328,0.224,0.612,0.084
ensemble,P00915,Lyase,247,0.776,0.603,0.64,0.616,0.438,0.72,0.384
ensemble,P00918,Lyase,263,0.826,0.682,0.435,0.449,0.323,0.662,0.126
ensemble,P01116,Hydrolase,52,2.2,4.84,0.012,0.05,0.025,0.512,0.0
ensemble,P03372,Transcription factor,79,1.369,1.875,-0.505,-0.564,-0.396,0.301,-0.081
ensemble,P03951,Protease,39,0.799,0.639,0.734,0.604,0.444,0.723,0.465
ensemble,P04629,Kinase,113,1.096,1.201,0.501,0.524,0.365,0.683,0.221
ensemble,P06276,Hydrolase,126,0.972,0.944,0.34,0.287,0.197,0.599,0.082
ensemble,P07333,Kinase,81,1.137,1.294,0.233,0.222,0.158,0.579,0.043
ensemble,P08183,Transporter,83,0.944,0.891,0.272,0.251,0.167,0.584,0.05
ensemble,P08684,Cytochrome p450,56,1.448,2.097,-0.542,-0.555,-0.376,0.312,-0.089
ensemble,P08908,Family A G protein-coupled receptor,46,1.038,1.077,0.859,0.832,0.623,0.811,0.519
ensemble,P09874,Transferase,127,0.979,0.958,0.645,0.695,0.52,0.76,0.326
ensemble,P0DTD1,Transferase,726,1.198,1.434,0.323,0.33,0.227,0.613,0.079
ensemble,P10275,Transcription factor,36,0.884,0.781,0.017,0.006,-0.008,0.496,0.0
ensemble,P14416,Family A G protein-coupled receptor,134,0.966,0.933,0.704,0.683,0.503,0.752,0.377
ensemble,P17931,Unclassified protein,38,1.353,1.829,-0.272,-0.356,-0.259,0.37,-0.035
ensemble,P21728,Family A G protein-coupled receptor,37,0.765,0.585,0.29,0.28,0.188,0.594,0.084
ensemble,P22303,Hydrolase,109,1.147,1.315,0.638,0.608,0.434,0.717,0.378
ensemble,P23458,Kinase,99,1.338,1.791,0.698,0.737,0.544,0.772,0.366
ensemble,P24941,Kinase,50,0.698,0.487,0.729,0.744,0.557,0.779,0.477
ensemble,P27338,Oxidoreductase,124,1.057,1.117,0.371,0.368,0.253,0.627,0.116
ensemble,P28223,Family A G protein-coupled receptor,54,1.14,1.299,0.608,0.462,0.33,0.665,0.325
ensemble,P28335,Family A G protein-coupled receptor,22,1.121,1.256,0.407,0.331,0.248,0.624,0.08
ensemble,P28907,Hydrolase|Transferase,37,1.799,3.236,-0.087,-0.15,-0.089,0.455,0.004
ensemble,P29274,Family A G protein-coupled receptor,46,1.123,1.261,0.693,0.322,0.224,0.612,0.337
ensemble,P29597,Kinase,51,0.8,0.639,0.603,0.577,0.414,0.708,0.331
ensemble,P31153,Transferase,50,0.586,0.343,0.477,0.46,0.329,0.665,0.106
ensemble,P34913,Hydrolase,70,0.671,0.451,0.756,0.683,0.519,0.76,0.395
ensemble,P34972,Family A G protein-coupled receptor,30,1.354,1.834,0.245,0.212,0.159,0.579,0.044
ensemble,P35372,Family A G protein-coupled receptor,35,0.837,0.7,0.517,0.532,0.323,0.662,0.215
ensemble,P35408,Family A G protein-coupled receptor,54,1.183,1.4,0.56,0.519,0.37,0.69,0.233
ensemble,P35462,Family A G protein-coupled receptor,79,0.918,0.842,0.901,0.825,0.643,0.822,0.484
ensemble,P36544,Ion channel,33,0.743,0.551,0.232,0.194,0.125,0.563,0.025
ensemble,P37231,Transcription factor,16,1.093,1.195,0.589,0.549,0.387,0.695,0.261
ensemble,P41143,Family A G protein-coupled receptor,41,0.927,0.859,0.658,0.48,0.333,0.667,0.298
ensemble,P41145,Family A G protein-coupled receptor,34,1.073,1.151,0.658,0.578,0.408,0.704,0.358
ensemble,P42330,Oxidoreductase,99,0.622,0.386,0.431,0.333,0.234,0.618,0.129
ensemble,P42336,Transferase,111,0.792,0.627,0.766,0.801,0.587,0.794,0.477
ensemble,P42345,Kinase,55,1.098,1.206,0.291,0.335,0.226,0.614,0.053
ensemble,P42866,Family A G protein-coupled receptor,32,0.537,0.289,0.229,0.27,0.194,0.597,0.028
ensemble,P43166,Lyase,119,0.689,0.475,0.622,0.571,0.417,0.709,0.256
ensemble,P43490,Unclassified protein,38,1.267,1.605,0.655,0.634,0.447,0.724,0.327
ensemble,P45983,Kinase,68,1.272,1.618,0.744,0.699,0.537,0.774,0.437
ensemble,P49759,Kinase,97,0.663,0.44,0.306,0.256,0.179,0.59,0.072
ensemble,P49841,Kinase,113,1.427,2.036,0.369,0.374,0.256,0.628,0.119
ensemble,P50406,Family A G protein-coupled receptor,77,0.796,0.634,0.298,0.346,0.233,0.617,0.074
ensemble,P51449,Transcription factor,59,0.865,0.749,-0.118,0.027,0.033,0.516,0.005
ensemble,P52333,Kinase,70,0.511,0.261,0.792,0.749,0.54,0.771,0.558
ensemble,P53350,Kinase,96,1.773,3.142,-0.103,0.179,0.134,0.567,0.007
ensemble,P53779,Kinase,159,0.798,0.637,0.715,0.653,0.472,0.737,0.474
ensemble,Q00987,Other nuclear protein,94,0.856,0.733,0.897,0.879,0.707,0.854,0.594
ensemble,Q02127,Oxidoreductase,31,0.789,0.623,0.655,0.611,0.459,0.73,0.343
ensemble,Q03111,Epigenetic regulator,48,0.765,0.586,0.617,0.597,0.422,0.711,0.336
ensemble,Q03181,Transcription factor,19,0.556,0.309,0.441,0.389,0.298,0.649,0.192
ensemble,Q06124,Phosphatase,42,0.717,0.514,0.555,0.574,0.408,0.704,0.276
ensemble,Q06187,Kinase,69,0.903,0.816,0.738,0.714,0.504,0.752,0.373
ensemble,Q12809,Ion channel,119,1.606,2.581,0.169,0.116,0.081,0.54,0.014
ensemble,Q13546,Kinase,52,1.055,1.112,0.554,0.531,0.368,0.685,-0.124
ensemble,Q13547,Epigenetic regulator,358,0.818,0.669,0.676,0.696,0.505,0.753,0.381
ensemble,Q13627,Kinase,80,0.942,0.888,0.569,0.53,0.376,0.688,0.256
ensemble,Q15910,Epigenetic regulator,44,0.664,0.441,0.358,0.353,0.252,0.626,0.085
ensemble,Q16769,Transferase,52,1.9,3.61,0.207,0.16,0.118,0.559,0.035
ensemble,Q16790,Lyase,209,0.633,0.401,0.461,0.432,0.297,0.649,0.172
ensemble,Q72547,Hydrolase,164,0.882,0.779,0.295,0.24,0.165,0.583,0.05
ensemble,Q92630,Kinase,38,1.025,1.05,0.5,0.542,0.356,0.678,0.197
ensemble,Q92769,Epigenetic regulator,41,1.006,1.012,0.494,0.469,0.353,0.677,0.241
ensemble,Q92918,Kinase,134,0.979,0.958,0.434,0.398,0.279,0.64,0.106
ensemble,Q96P20,Unclassified protein,73,1.591,2.531,0.103,0.041,0.029,0.514,0.006
ensemble,Q96SW2,Unclassified protein,56,0.918,0.843,0.774,0.663,0.489,0.745,0.487
ensemble,Q99538,Protease,40,1.699,2.885,0.391,0.418,0.288,0.644,0.102
ensemble,Q9NXA8,Epigenetic regulator,95,0.781,0.609,0.077,0.12,0.082,0.541,0.001
ensemble,Q9Y463,Kinase,42,0.807,0.651,0.42,0.325,0.232,0.616,0.17
